# BUSCO version is: 5.8.3 
# The lineage dataset is: metazoa_odb10 (Creation date: 2024-01-08, number of genomes: 65, number of BUSCOs: 954)
# Busco id
114954at33208
208219at33208
239149at33208
315393at33208
319574at33208
344346at33208
359532at33208
435939at33208
445034at33208
495802at33208
505718at33208
526839at33208
533666at33208
544849at33208
556039at33208
557694at33208
597023at33208
606776at33208
608669at33208
613522at33208
614305at33208
615840at33208
641257at33208
