Species,Complete_total_percent,Complete_single_copy_percent,Complete_duplicate_percent,Fragmented_percent,Missing_percent
Pocillopora tuahiniensis,96.8,91.5,5.2,0.8,2.4
Pocillopora meandrina,96.1,94.9,1.2,2,1.9
Pocillopora acuta (Hawai'i),96.1,93.6,2.5,1.9,2
Pocillopora acuta (Indonesia),89.4,89,0.4,6.9,3.7
Pocillopora damicornis,90.7,90.5,0.2,4.2,5.1
Pocillopora verrucosa,94.9,92,2.9,2.5,2.5
Pocillopora cf. effusa,94.8,92,2.8,2.4,2.8
