All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    Ptua_hifiasm_s35.p_ctg  Ptua_hifiasm_s45.p_ctg  Ptua_hifiasm_s55.p_ctg  Ptua_hifiasm_s65.p_ctg  Pocillopora_meandrina_HIv1.assembly  Pocillopora_acuta_HIv2.assembly
# contigs (>= 0 bp)         1881                    1977                    2117                    2311                    212                                  474                            
# contigs (>= 1000 bp)      1881                    1977                    2117                    2311                    212                                  474                            
# contigs (>= 5000 bp)      1876                    1972                    2112                    2306                    211                                  461                            
# contigs (>= 10000 bp)     1835                    1930                    2066                    2259                    208                                  447                            
# contigs (>= 25000 bp)     1433                    1511                    1630                    1812                    205                                  394                            
# contigs (>= 50000 bp)     1174                    1227                    1297                    1428                    124                                  203                            
Total length (>= 0 bp)      346892374               352012482               362145096               375237682               376579914                            408287534                      
Total length (>= 1000 bp)   346892374               352012482               362145096               375237682               376579914                            408287534                      
Total length (>= 5000 bp)   346870769               351990877               362123491               375216077               376576338                            408248011                      
Total length (>= 10000 bp)  346547387               351657783               361760650               374845346               376554947                            408137131                      
Total length (>= 25000 bp)  339688042               344488965               354290539               367149578               376493990                            407100823                      
Total length (>= 50000 bp)  330405851               334216082               342209368               353173825               373269466                            400343351                      
# contigs                   1881                    1977                    2117                    2311                    212                                  474                            
Largest contig              1694298                 2017673                 2017673                 2017673                 21651136                             16633824                       
Total length                346892374               352012482               362145096               375237682               376579914                            408287534                      
GC (%)                      38.08                   38.08                   38.08                   38.08                   38.03                                38.11                          
N50                         411573                  394316                  379661                  357345                  10024633                             5167277                        
N75                         207196                  196492                  188328                  169292                  5767069                              3166945                        
L50                         265                     271                     284                     314                     13                                   24                             
L75                         554                     581                     618                     692                     24                                   49                             
# N's per 100 kbp           0.00                    0.00                    0.00                    0.00                    0.00                                 0.00                           
