All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    Pocillopora_tuahiniensis_genome_v1.0  Ptua_polished  Ptua_primary_clean.fasta.k32.w100.z1000.ntLink.gap_fill.5rounds  Ptua_primary_clean  Ptua_primary  Pver_genome_assembly_v1.0  Pocillopora_meandrina_HIv1.assembly  Pocillopora_acuta_HIv2.assembly
# contigs (>= 0 bp)         1137                                  1137           1137                                                             1939                3454          18268                      212                                  474                            
# contigs (>= 1000 bp)      1137                                  1137           1137                                                             1939                3454          11724                      212                                  474                            
# contigs (>= 5000 bp)      1130                                  1130           1132                                                             1934                3449          3932                       211                                  461                            
# contigs (>= 10000 bp)     1093                                  1093           1098                                                             1889                3373          2484                       208                                  447                            
# contigs (>= 25000 bp)     947                                   947            950                                                              1616                1731          1598                       205                                  394                            
# contigs (>= 50000 bp)     794                                   794            798                                                              1302                1304          1191                       124                                  203                            
Total length (>= 0 bp)      356090324                             356090324      357075554                                                        358676018           386080404     380505698                  376579914                            408287534                      
Total length (>= 1000 bp)   356090324                             356090324      357075554                                                        358676018           386080404     375923844                  376579914                            408287534                      
Total length (>= 5000 bp)   356061242                             356061242      357053949                                                        358654413           386058799     358580702                  376576338                            408248011                      
Total length (>= 10000 bp)  355768781                             355768781      356792564                                                        358301515           385422640     348550822                  376554947                            408137131                      
Total length (>= 25000 bp)  353225977                             353225977      354211161                                                        353535204           357312610     334908425                  376493990                            407100823                      
Total length (>= 50000 bp)  347680752                             347680752      348721270                                                        342104159           342565632     320332990                  373269466                            400343351                      
# contigs                   1137                                  1137           1137                                                             1939                3454          18268                      212                                  474                            
Largest contig              3575219                               3575219        3579184                                                          2017673             2017673       2095917                    21651136                             16633824                       
Total length                356090324                             356090324      357075554                                                        358676018           386080404     380505698                  376579914                            408287534                      
GC (%)                      38.00                                 38.00          38.01                                                            38.01               38.51         38.09                      38.03                                38.11                          
N50                         738496                                738496         739102                                                           378534              347400        333696                     10024633                             5167277                        
N75                         380257                                380257         380596                                                           192209              150449        125371                     5767069                              3166945                        
L50                         141                                   141            141                                                              282                 320           326                        13                                   24                             
L75                         309                                   309            310                                                              613                 732           766                        24                                   49                             
# N's per 100 kbp           0.00                                  0.00           0.03                                                             0.00                0.00          134.04                     0.00                                 0.00                           
